target_id,start,end,role,reason
PASSION24.HOUR.16.P015,101,103,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.16.P026,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.16.P028,74,76,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.16.P041,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.16.P045,191,193,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.17.P009,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.17.P014,45,47,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.17.P024,181,183,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.17.P027,152,154,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.17.P037,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.17.P044,291,293,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.17.P048,114,116,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.17.P048,270,272,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.17.P058,63,65,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.17.P058,110,112,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.17.P059,97,99,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.17.P059,122,124,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.17.P063,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.17.P068,161,163,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.17.REF.P011,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.17.REF.P013,173,175,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.18.P005,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.18.P005,114,116,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.18.P014,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.18.P021,77,79,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
