target_id,run_index,start,end,presentation_speaker,adjudicated
PASSION24.HOUR.22.P009,1,0,27,JESUS,NO
PASSION24.HOUR.22.P017,1,19,38,JESUS,NO
PASSION24.HOUR.22.P022,1,2,21,JESUS,NO
PASSION24.HOUR.22.P024,1,20,67,JESUS,NO
PASSION24.HOUR.22.P028,1,98,187,JESUS,NO
PASSION24.HOUR.22.P029,1,89,96,JESUS,NO
PASSION24.HOUR.22.P030,1,69,119,JESUS,NO
PASSION24.HOUR.22.P031,1,145,190,JESUS,NO
PASSION24.HOUR.22.P041,1,2,66,JESUS,NO
PASSION24.HOUR.22.REF.P001,1,216,235,JESUS,NO
PASSION24.HOUR.23.P011,1,14,131,JESUS,NO
PASSION24.HOUR.23.P012,1,0,89,JESUS,NO
PASSION24.HOUR.23.P013,1,0,155,JESUS,NO
PASSION24.HOUR.23.P014,1,0,85,JESUS,NO
PASSION24.HOUR.23.P015,1,0,119,JESUS,NO
PASSION24.HOUR.23.P016,1,0,126,JESUS,NO
PASSION24.HOUR.23.P017,1,0,219,JESUS,NO
PASSION24.HOUR.23.P018,1,0,132,JESUS,NO
PASSION24.HOUR.24.DESOL.P001,1,2,139,MARY,NO
PASSION24.HOUR.24.DESOL.P009,1,2,180,MARY,NO
PASSION24.HOUR.24.DESOL.P010,1,0,97,MARY,NO
PASSION24.HOUR.24.DESOL.P011,1,0,74,MARY,NO
PASSION24.HOUR.24.DESOL.P012,1,0,72,MARY,NO
PASSION24.HOUR.24.DESOL.P013,1,0,212,MARY,NO
PASSION24.HOUR.24.DESOL.P014,1,0,117,MARY,NO
PASSION24.HOUR.24.DESOL.P018,1,2,341,MARY,NO
PASSION24.HOUR.24.DESOL.P019,1,0,174,MARY,NO
PASSION24.HOUR.24.DESOL.P022,1,2,139,MARY,NO
PASSION24.HOUR.24.DESOL.P023,1,0,55,MARY,NO
PASSION24.HOUR.24.DESOL.P024,1,0,61,MARY,NO
PASSION24.HOUR.24.DESOL.P025,1,0,139,MARY,NO
PASSION24.HOUR.24.DESOL.P026,1,0,358,MARY,NO
PASSION24.HOUR.24.DESOL.P027,1,0,77,MARY,NO
PASSION24.HOUR.24.DESOL.P032,1,2,359,MARY,NO
PASSION24.HOUR.24.DESOL.P034,1,0,129,MARY,NO
PASSION24.HOUR.24.DESOL.P035,1,0,113,MARY,NO
PASSION24.HOUR.24.DESOL.P036,1,0,141,MARY,NO
PASSION24.HOUR.24.DESOL.P037,1,0,60,MARY,NO
PASSION24.HOUR.24.DESOL.P068,1,26,139,MARY,NO
PASSION24.HOUR.24.DESOL.P069,1,0,184,MARY,NO
PASSION24.HOUR.24.DESOL.P070,1,0,321,MARY,NO
PASSION24.HOUR.24.DESOL.P071,1,0,202,MARY,NO
PASSION24.HOUR.24.DESOL.P072,1,0,185,MARY,NO
PASSION24.HOUR.24.DESOL.P077,1,2,118,MARY,NO
PASSION24.SECTION.BENEFITS.P004,1,98,291,JESUS,NO
PASSION24.SECTION.BENEFITS.P006,1,0,132,JESUS,NO
PASSION24.SECTION.BENEFITS.P007,1,0,301,JESUS,NO
PASSION24.SECTION.BENEFITS.P008,1,0,12,JESUS,NO
PASSION24.SECTION.BENEFITS.P009,1,0,28,JESUS,NO
