group_key,para_id,start,end,text_sha256
PASSION24.HOUR.03.P007:0-402,PASSION24.HOUR.03.P007,0,402,8101858043394767d59a0cc30bcf29b1ba97af796f2de55d29aced425320a852
PASSION24.HOUR.03.P008:0-237,PASSION24.HOUR.03.P008,0,237,3f10b99e65271d725c9646c73c079d17cad7e9cb3357222ef0af5732c26a1412
PASSION24.HOUR.03.P009:0-285,PASSION24.HOUR.03.P009,0,285,5921df4c4692d30c7eecbd3d83e4f2f202d3430096ee3e89b211c428136f768f
PASSION24.HOUR.03.P010:0-126,PASSION24.HOUR.03.P010,0,126,2083bc3d3374689bc12587de09180816f4ef52a3bc4fa2fce3940d2388d7d9ba
PASSION24.HOUR.03.P011:0-132,PASSION24.HOUR.03.P011,0,132,4439b9c6aea304104790e42049935a704b1057d3445dd1d58e7ae202f29280e9
PASSION24.HOUR.03.P012:0-773,PASSION24.HOUR.03.P012,0,773,9067543927bcd5eea1b55b22c3a8e9c6a83f86f7d8e8012af3fcd300dca4f5a7
PASSION24.HOUR.03.P013:0-79,PASSION24.HOUR.03.P013,0,79,5f02a163c26cf73f121e72cff8af8bb812eb73fd0d212dfbfb624bc3b2ac7f20
PASSION24.HOUR.03.REF.P001:0-140,PASSION24.HOUR.03.REF.P001,0,140,4cae52fa55be1c3434aeb25c305865e2721a4b7c285893f4a57d2607b53bc439
PASSION24.HOUR.03.REF.P002:0-268,PASSION24.HOUR.03.REF.P002,0,268,f46b94fd6158291d5fe0608edbe7e33c3afadc0b2bda09e8f2d84b8e39542513
PASSION24.HOUR.03.REF.P003:0-373,PASSION24.HOUR.03.REF.P003,0,373,f9ab47252e1235128708959ee5611390469ce87468ef472e697aaeeb5c8af616
PASSION24.HOUR.03.REF.P004:0-65,PASSION24.HOUR.03.REF.P004,0,65,a386d3c922c8f0498ec0a1c4d69c5ec606d877e47acdeba0e066d7551b81c506
PASSION24.HOUR.03.REF.P005:0-705,PASSION24.HOUR.03.REF.P005,0,705,c52bdb9940979c6a9a25e137e0c436c07c30ff118b59c8ea83180d507176d950
PASSION24.HOUR.03.REF.P006:0-125,PASSION24.HOUR.03.REF.P006,0,125,e6e997a3490b865ef5f12c3a990234fd0b6771698e5c1b6f0df9816473135f70
PASSION24.HOUR.03.REF.P007:0-118,PASSION24.HOUR.03.REF.P007,0,118,5971bc8555881b530e21b25e237df67874d5afe496ce28c59e8bcb92dc239469
PASSION24.HOUR.03.REF.P008:0-172,PASSION24.HOUR.03.REF.P008,0,172,e9ac0917014f88d8f1b1d327ae18171d13f487b1fbd581b71567e469b868ef49
PASSION24.HOUR.03.REF.P009:0-393,PASSION24.HOUR.03.REF.P009,0,393,6175937d4deeb033df28197fbcb1c2f11c32fbca017587f91695f867d5a184c0
PASSION24.HOUR.03.REF.P010:0-125,PASSION24.HOUR.03.REF.P010,0,125,db3fea10fbecab82cd5949fd4bef488965cb120924656b1c9e12759fc906a536
PASSION24.HOUR.03.REF.P011:0-123,PASSION24.HOUR.03.REF.P011,0,123,44c6ec5cb0283c837b8102e246a470c3b25c0527a7fce9738f868321d57cac59
PASSION24.HOUR.03.REF.P012:0-131,PASSION24.HOUR.03.REF.P012,0,131,c22292e586f71307078033fcd68d6353697d7aafa2a90bb77cf8f7f23e7c2392
PASSION24.HOUR.03.REF.P013:0-221,PASSION24.HOUR.03.REF.P013,0,221,9327f9e6a0d5c1e3a30eaa7d79f43064118dc86081cb604931212428522f0121
PASSION24.HOUR.03.REF.P014:0-1165,PASSION24.HOUR.03.REF.P014,0,1165,17793a42c90c6f548e9589af9a1ef6ea8c90c2d26157b29b72638f5d1c6ce4bb
PASSION24.HOUR.03.REF.P015:0-228,PASSION24.HOUR.03.REF.P015,0,228,b39ddc5bf6f1b909fc21769029db271dc28cc762737e88c4d4267e8d1d154c6f
PASSION24.HOUR.03.REF.P016:0-264,PASSION24.HOUR.03.REF.P016,0,264,3baa21d12ca05495365ba0ec206c111dd4df69bea3cb3bae20107baae1ad2293
PASSION24.HOUR.03.REF.P017:0-429,PASSION24.HOUR.03.REF.P017,0,429,74392fe7d846b74352026fbb4e4c8c20b336ffb79a175d1a666f2da738fb643f
PASSION24.HOUR.03.REF.P018:0-463,PASSION24.HOUR.03.REF.P018,0,463,fcef72cd0408735d6d387157dfcbc4e21ca51d519a7561e3d49c55ded6387897
PASSION24.HOUR.03.REF.P019:0-158,PASSION24.HOUR.03.REF.P019,0,158,4445ef4ed295c6c2de03c224a336d169c7472b6ebbcb2840c777fd551ea81c8a
PASSION24.HOUR.04.P001:0-282,PASSION24.HOUR.04.P001,0,282,138598359abd80c1530c9e3c932ef14c8ad48e538299f4b48b119ecd12a2f070
PASSION24.HOUR.04.P002:0-118,PASSION24.HOUR.04.P002,0,118,436d63ba2aaee50a126a333de16b7e9b48d2e1bcb9e158670bc2cf7dcc1f68a1
PASSION24.HOUR.04.P003:0-473,PASSION24.HOUR.04.P003,0,473,e97b82540e4b75de2a8432e7cb9dc73836a0c7a371139eda4ea83e2a827c7f1e
PASSION24.HOUR.04.P004:0-172,PASSION24.HOUR.04.P004,0,172,2c083a35b1dcc84a2ed627328b4b52796f5f1482bc42d2e84c0b20567a4f6b5d
PASSION24.HOUR.04.P005:0-341,PASSION24.HOUR.04.P005,0,341,64da251b4fda71f8eb8dd3e5937393e61976cbd5a07ad67d896b2f66f1cb445d
PASSION24.HOUR.04.P006:0-84,PASSION24.HOUR.04.P006,0,84,219390e0d4b22dac909c8790d67592bb3349a5ef1df9e3aa6fcef7cc76bdc363
PASSION24.HOUR.04.P007:0-167,PASSION24.HOUR.04.P007,0,167,79b94cad496e572303374230094d1bbfe8946032335546fb19edf4f9592f4a6c
PASSION24.HOUR.04.P008:0-139,PASSION24.HOUR.04.P008,0,139,1ea88e6d0ac15c27c076b2bad9ff089c6f30449df9546bf55ef87c352719da8c
PASSION24.HOUR.04.P009:0-45,PASSION24.HOUR.04.P009,0,45,ee4e07590d43ab4cf217c1498ea06ff676a6c88450af9f6918e9eb89151b19cd
PASSION24.HOUR.04.P010:0-143,PASSION24.HOUR.04.P010,0,143,77c8083014977eef56022ef7b7c460af94d664ae94c92320b97de6215c2001c3
PASSION24.HOUR.04.P011:0-81,PASSION24.HOUR.04.P011,0,81,2e2e6426becd856b02576e1a032dc8c14ea819d4e4ef4ff2f302d8e7f80d3bcd
PASSION24.HOUR.04.P012:0-165,PASSION24.HOUR.04.P012,0,165,15034e1ad76cccdc653895f44ef1ff71cd706c6a5e2bc450903128db99465cd5
PASSION24.HOUR.04.P013:0-155,PASSION24.HOUR.04.P013,0,155,c1da88335d7060a343947ae3d974508137830debf218cbda55eb4c4720343117
PASSION24.HOUR.04.P014:0-202,PASSION24.HOUR.04.P014,0,202,79ff2c3ca6d1168b7a1634b894b95331d4d031b2a499c0fbf23db0914a8232f5
PASSION24.HOUR.04.P015:0-112,PASSION24.HOUR.04.P015,0,112,17436f855d8c1f506a54645b3a797c20c27255af61da43f2e740de7ed2e971d6
PASSION24.HOUR.04.P016:0-657,PASSION24.HOUR.04.P016,0,657,b539a5103be8fde121c0e476722f64a4e5d49cf0ae2bd073e07cf9bccbb9a4f1
PASSION24.HOUR.04.P017:0-152,PASSION24.HOUR.04.P017,0,152,0525c7776c4e0b3fe549d8522680f0b1dd5cbb84ffe17cee52b82ba5c44461f8
PASSION24.HOUR.04.P018:0-421,PASSION24.HOUR.04.P018,0,421,8c4920f58f2e18fe237e1531e7dc0b9e0582331a80d64e1ad32cd78a13474dba
PASSION24.HOUR.04.P019:0-25,PASSION24.HOUR.04.P019,0,25,f89040cd54277c6d7b80284d12ae2dbf2a5e84a1a4d24dd4fdf52cdd8947e76e
PASSION24.HOUR.04.P020:0-98,PASSION24.HOUR.04.P020,0,98,2d067f81cbece1dfcae6e305b64ed36c0d714487475f587a9742af85b4002d27
PASSION24.HOUR.04.P021:0-191,PASSION24.HOUR.04.P021,0,191,28e69c1e62fc46b6b12d9cbc96d7d0771c82a7684d133c4f0a43471cd280e12a
PASSION24.HOUR.04.P022:0-566,PASSION24.HOUR.04.P022,0,566,0d13cb86c9d2281264e4f4d1b90f368ac1437601ed537781900ee6d59fbc4085
PASSION24.HOUR.04.P023:0-220,PASSION24.HOUR.04.P023,0,220,13413c38e9d37e138c12b6df540d97b8952759cebd0a8f4a764e0fa9981529a1
PASSION24.HOUR.04.P024:0-315,PASSION24.HOUR.04.P024,0,315,eea816763d639466f39daae412ede5b0ace567761b4bff0293436db0d8aa2067
PASSION24.HOUR.04.P025:0-169,PASSION24.HOUR.04.P025,0,169,9d47d6d68bb6d0fe5c455e241e7bff4b9a543292c5115ef5d8503499ce4365d9
PASSION24.HOUR.04.P026:0-172,PASSION24.HOUR.04.P026,0,172,96f95aaa30dc5b0dedb827f8efef7f8c7aa952009fb2a2704c2ec73e9ef8f92b
PASSION24.HOUR.04.P027:0-64,PASSION24.HOUR.04.P027,0,64,54529281e0059099d139d91046670455e23627fecda0df04aa41a19d5c65997a
PASSION24.HOUR.04.P028:0-426,PASSION24.HOUR.04.P028,0,426,1ac21081539d2adf14ec34c3ffacd261b97f846a49f94b60ce71b2632e5c88d0
PASSION24.HOUR.04.P029:0-222,PASSION24.HOUR.04.P029,0,222,72c26ca5919508093e6dcc8631fc3b026506fb311b73b85789bac2f1ea8725aa
PASSION24.HOUR.04.P030:0-121,PASSION24.HOUR.04.P030,0,121,4db7e9a9bbdfc11a1ade0b131301a76224baa57ab3aaeaf3df26deeed74b75d1
PASSION24.HOUR.04.P031:0-252,PASSION24.HOUR.04.P031,0,252,6e983cebe13f26acd5486da4a19e2090ff310e5603d4eb43caadc32efe602912
PASSION24.HOUR.04.P032:0-111,PASSION24.HOUR.04.P032,0,111,891853b33c3dd58ccc2c1022bea191ea962a7f50a647c367725e5bea51888fe2
PASSION24.HOUR.04.P033:0-43,PASSION24.HOUR.04.P033,0,43,818bfaec2420fa1348f01ec1d71ecb5578db8b3c8e9e423aec9ae6813ce96069
PASSION24.HOUR.04.P034:0-113,PASSION24.HOUR.04.P034,0,113,26502492a45e5bca678c3704c06f659b592153a5bd198d7393f741e397663dab
PASSION24.HOUR.04.P034:113-361,PASSION24.HOUR.04.P034,113,361,c5c9f8556458696023201ca72dbfe563bf91ce93265c6be0643fc1113d6e9197
PASSION24.HOUR.04.P035:0-98,PASSION24.HOUR.04.P035,0,98,4779eab2efd5e45d38437ac06f350a812a858e34a6974b39389a1405682f951a
PASSION24.HOUR.04.P036:0-223,PASSION24.HOUR.04.P036,0,223,38aacc7fe2e68d1a3faebbb42f6968c50a9fad84031b346db5db15b65246ffe4
PASSION24.HOUR.04.P037:0-164,PASSION24.HOUR.04.P037,0,164,153778dbadfe415e5036591c910794d7c7eaeed65483474651c364b9fe3ccc4e
PASSION24.HOUR.04.P038:0-180,PASSION24.HOUR.04.P038,0,180,190196218503d7d40ea373f9a912b098075343b650066dcb442ce34ad3e85555
PASSION24.HOUR.04.P039:0-252,PASSION24.HOUR.04.P039,0,252,53803481c854f4a9dcc1ec12e21664cfb9f7316c0b86640a256c341de1c7beb1
PASSION24.HOUR.04.P040:0-49,PASSION24.HOUR.04.P040,0,49,22680446bc345da7d4c294122b365e3e7684f3297725f378ea0e4725ee7aa132
PASSION24.HOUR.04.P041:0-146,PASSION24.HOUR.04.P041,0,146,dea53df18e949b13c939354a1c979343518c8a57d30b23fe50584e7a701d3b0c
PASSION24.HOUR.04.P042:0-216,PASSION24.HOUR.04.P042,0,216,a805e7fe36c2f3e3a649dff2cc88c5ec9a0e0c13684e12db6b77a20a73985627
PASSION24.HOUR.04.P044:0-120,PASSION24.HOUR.04.P044,0,120,d620aabfea919785aec68b6fe2fa1cf6d8c13f90130f5eb27cf2266637523d61
PASSION24.HOUR.04.P045:0-156,PASSION24.HOUR.04.P045,0,156,48e60d1c0245ace7784e8e41860fdb8e3f90a3c434ace939172846d99e69c3eb
PASSION24.HOUR.04.P046:0-157,PASSION24.HOUR.04.P046,0,157,07f7e1bedaab4b986cc64d6938dea2ce934eee71b9486c64fd741a31515023d7
PASSION24.HOUR.04.P047:0-185,PASSION24.HOUR.04.P047,0,185,65544aa3fd1664b9feb508244c6b8f663f71127911d34b2ed149cdef5cac22b9
PASSION24.HOUR.04.P048:0-206,PASSION24.HOUR.04.P048,0,206,8e754da4beb6a3db24753d58cc5a0dea119bb7793e00f647af55cce78fa208dd
PASSION24.HOUR.04.P049:0-95,PASSION24.HOUR.04.P049,0,95,b5c3571e8fbd68f1770d2c7538599cf1dce94d7ffe2f8e325a9c95967a9fd6ee
PASSION24.HOUR.04.P050:0-576,PASSION24.HOUR.04.P050,0,576,89fad8c69d4fc9bc120ae106a3d16869b6afd12e9fbdc224b30ce94693d965db
PASSION24.HOUR.04.P051:0-102,PASSION24.HOUR.04.P051,0,102,4a55594ece34aaf4a08e236cfbf9169a7e6855351a2a1b77912b5380f3c2e29c
PASSION24.HOUR.04.P052:0-151,PASSION24.HOUR.04.P052,0,151,f51144892906882f4481a006de32a985b7590a0a0951a5e591b2ffba514bc420
PASSION24.HOUR.04.P053:0-64,PASSION24.HOUR.04.P053,0,64,b02258d600031edb7d01ea510a3cb6b668c2d4b7673e75d7f13c15b354c891b4
PASSION24.HOUR.04.P054:0-248,PASSION24.HOUR.04.P054,0,248,d748cb53fd31af073e5a40d1ec76a903b3e876d35df30f211425f225320a3efd
PASSION24.HOUR.04.P055:0-310,PASSION24.HOUR.04.P055,0,310,ec2c03ffe3898058e81d13fc906bf4214b17e16df3696c2d137b9fd7731b86c5
PASSION24.HOUR.04.P056:0-85,PASSION24.HOUR.04.P056,0,85,41d19181852fe98a1c63e85858f0dfca330c52f299523f58ab2b005a200cc0c1
PASSION24.HOUR.04.P057:0-140,PASSION24.HOUR.04.P057,0,140,7e9471c308b0a08cdb3ac1a380b474aed872f76f6aade008ff5073475ca3e696
PASSION24.HOUR.04.P058:0-351,PASSION24.HOUR.04.P058,0,351,5d20f4406d69a20f47e93f457c7b969a826b9c73c45db446d2c8ba2370ff1368
PASSION24.HOUR.04.P059:0-129,PASSION24.HOUR.04.P059,0,129,1abf4c34fc41a98e401dfb39d56f090c7aee73cf37a7d78b66a609503de44254
PASSION24.HOUR.04.P060:0-295,PASSION24.HOUR.04.P060,0,295,8886003ccb1e69bcc65d64d594671e221f99d2168cf5a4c91014e145468c8ce0
PASSION24.HOUR.04.P061:0-22,PASSION24.HOUR.04.P061,0,22,4c18fe38ae75385d9991ff9bbf7df8c9271c569709913d70f3b68c83d07272e0
PASSION24.HOUR.04.P062:0-176,PASSION24.HOUR.04.P062,0,176,4de33425f142c6ec6e20deefa23748ba568d337a1c1bb636cfda2f7ff984fd50
PASSION24.HOUR.04.P063:0-209,PASSION24.HOUR.04.P063,0,209,86e22b961ec036324f7acfdc50508fdb505dcbb15561d89fdc4adcdc8acf0aeb
